url,headline,scrape_date,scrape_datetime
https://news.err.ee/1610075755/mp-estonia-loses-a-good-friend-with-us-senator-lindsey-graham-s-death,MP: Estonia loses a 'good friend' with US Senator Lindsey Graham's death,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075713/airport-tramline-on-schedule-to-reopen-on-august-1-after-test-run,Airport tramline on schedule to reopen on August 1 after test run,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075701/reform-and-eesti-200-recieve-lowest-party-donations-in-q2,Reform and Eesti 200 recieve lowest party donations in Q2,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075698/producers-do-not-plan-to-stop-selling-cage-free-eggs-anytime-soon,Producers do not plan to stop selling cage-free eggs anytime soon,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075686/russian-disinformation-surge-may-be-connected-to-upcoming-baltic-elections,Russian disinformation surge may be connected to upcoming Baltic elections,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075257/estonia-falls-just-short-against-ireland-in-european-golf-team-final,Estonia falls just short against Ireland in European golf team final,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075344/new-estonian-state-fleet-vessel-runs-on-saaremaa-cow-manure,New Estonian state fleet vessel runs on Saaremaa cow manure,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075317/saaremaa-s-i-land-sound-summer-festival-program-announced,Saaremaa's I Land Sound summer festival program announced,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075284/parnu-music-festival-opens-with-world-premieres-and-international-stars,Pärnu Music Festival opens with world premieres and international stars,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610074756/3-minors-assaulted-by-adults-in-parnu-criminal-investigation-launched,"3 minors assaulted by adults in Pärnu, criminal investigation launched",2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610074699/defense-intelligence-russia-may-face-air-force-fuel-problems-after-ukrainian-strikes,Defense Intelligence: Russia may face air force fuel problems after Ukrainian strikes,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610074585/pedestrian-killed-after-tallinn-tram-driver-used-phone-on-duty,Pedestrian killed after Tallinn tram driver used phone on duty,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610042176/err-carrying-fifa-world-cup-2026-knockout-matches-live,ERR carrying FIFA World Cup 2026 knockout matches live,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610073646/estonian-government-approves-extending-temporary-protection-of-ukrainian-refugees,Estonian government approves extending temporary protection of Ukrainian refugees,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610073649/where-to-watch-the-climax-of-the-fifa-world-cup,Where to watch the climax of the FIFA world cup,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075275/estonia-joins-other-2-baltic-states-in-protest-over-russian-airspace-claims,Estonia joins other 2 Baltic states in protest over Russian airspace claims,2026-07-12,2026-07-12_21.48.16
https://news.err.ee/1610075200/estonia-s-night-fairies-help-keep-beach-grind-festival-goers-safe,Estonia's 'Night Fairies' help keep Beach Grind festival-goers safe,2026-07-12,2026-07-12_21.48.16
